Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_354_brier,0_354_san,354_709_brier,354_709_san,709_1064_brier,709_1064_san,1064_1419_brier,1064_1419_san,1419_1774_brier,1419_1774_san,1774_2128_brier,1774_2128_san,2128_2483_brier,2128_2483_san,2483_2838_brier,2483_2838_san,2838_3193_brier,2838_3193_san,3193_3548_brier,3193_3548_san,acc,brier,san
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.0006459686734521506,0.10996270746869925,0.0038733462848822365,0.1370397160427209,0.017588017287702623,0.1423070682013606,0.026943258010938685,0.11581771393015904,0.04139732757976845,0.11271163857696545,0.08477564857738724,0.08344733078732144,0.14907051202225902,0.07448836395455145,0.3311487056575015,0.043655977838064464,0.6116733241472583,0.024653934596146645,0.9276200561207154,0.00699033244459508,0.7491544532130778,0.21957325725231436,0.08510094087518323
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.0007910697627791115,0.08082749392080435,0.010077412856010036,0.1054365010775091,0.027964092643853373,0.10962679570173195,0.043674199603472935,0.09350778751756866,0.07868217660151097,0.08123406849553526,0.18048444914789497,0.05571507372051019,0.29670876322038037,0.05277757969797999,0.5326333930181936,0.02831372477143079,0.8038394350122011,0.020361141961642376,0.9872373883833623,0.00565089021251386,0.6581172491544532,0.2963251182270905,0.06334232883167244
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.000540558642805565,0.06352033627656971,0.009265378132381477,0.0801938179543589,0.020148641301883593,0.08319757273295321,0.047406494756271504,0.06540482251955017,0.08747357652941078,0.05916266078986659,0.1663016016261935,0.04449207897451549,0.33014169720673264,0.04306971849447678,0.568529851306343,0.018025088992884984,0.8507895066421866,0.013292850006020618,0.987049869501537,0.007213759285975673,0.6521984216459977,0.3068906158945803,0.04775374809030293
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.0037339320266745668,0.03974568392098356,0.017612526100598536,0.04299910372024887,0.036987398669688185,0.04744580710108308,0.08860181650718804,0.03813960040643434,0.20138290479851897,0.033717286445275725,0.3670791491048271,0.019853316481101283,0.5811184771862388,0.02350767867488652,0.7661208774211883,0.011250919952652936,0.9307488001729429,0.008735518726910875,0.9954448765820323,0.003589441961135015,0.54847801578354,0.3990034121226568,0.026896800415248234
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.002590739545645176,0.10866406500632642,0.03721550648178143,0.1282486751560135,0.028699096495180782,0.1404510406585344,0.04305319313819051,0.11940944969219086,0.0750387272633654,0.10894141464677448,0.11801351870422294,0.0791001948396561,0.21590593384018136,0.07106574217817795,0.37508740913601935,0.04245633863134825,0.6487392600910412,0.026389538157533227,0.8982988970134691,0.011873684780001769,0.7268883878241262,0.2443679272120868,0.08365425219001739
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.009509582882237648,0.11895789686187137,0.035413601548275914,0.13484649012868472,0.03198967040924614,0.1572842020626801,0.05794032184540717,0.11992915062857162,0.11315652280870248,0.11690123088449539,0.2071751172926057,0.0724251944242713,0.29460496364270083,0.07316406249167987,0.499889503543238,0.03889240808472718,0.693088724020113,0.024156010188270162,0.9157460694693859,0.008189607054823031,0.6747463359639233,0.2859514692217599,0.08646942972274249
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.002951692201051876,0.0202460345877657,0.020880175309676743,0.018278171089493804,0.08317461540342447,0.017656542283546746,0.18220086991849477,0.017783277178204743,0.32622767594769125,0.01380181602056765,0.5093338449264473,0.01276740961791334,0.6692565959444594,0.01490734836672734,0.8119599925316185,0.007486942089358623,0.9271526377234433,0.0056567929204961115,0.9964108448467488,0.00131975592070373,0.48252536640360766,0.45306583704909925,0.012988426869318025
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.0073774278961838595,0.010032341523795205,0.06097945603277131,0.011687122466237694,0.16114877095775312,0.013121887069958755,0.2956429791667774,0.009843845560824634,0.48176461176089025,0.00830525033060409,0.6095511402065112,0.008052776147634567,0.6948799732441917,0.012567733636619944,0.8356984791182529,0.004647752263398766,0.9272875746672927,0.003367672091478791,0.9959625523074279,0.0007675197803868456,0.4205186020293123,0.5071412272080064,0.008238937342590765
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.0015934620076771208,0.049193627353686056,0.012314233604997619,0.057933681961937725,0.02999470228306037,0.06579287989534366,0.07777202909721144,0.041419867398537216,0.15210480927869435,0.03923996019274032,0.26700670540646315,0.029567092690655047,0.4930877405724203,0.03116450434083055,0.7365684392151968,0.014834646229617957,0.9214940372003929,0.01034407277434465,0.9950835077484151,0.005051330606404395,0.5727170236753101,0.36883409848076254,0.034451389459585854
