Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_34_brier,0_34_san,34_68_brier,34_68_san,68_103_brier,68_103_san,acc,brier,san
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.40259110171955936,0.6825730919295572,0.7583421360650646,0.7056019682783172,0.866719602004022,0.6958840460793709,0.22330097087378642,0.6777370500467765,0.6946979966975313
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.29865990227212463,0.4718344441019443,0.7452818813402781,0.43481412157789157,0.8877041313046511,0.5144131783429539,0.2815533980582524,0.6462491770726647,0.47408264538949335
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.36461446511914863,0.8448502784593812,0.5809823637096897,0.8445655578780771,0.8637935707689278,0.847127988935006,0.32038834951456313,0.605660846185369,0.8455302723126095
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.38339721711257524,0.7924812756402735,0.6612089069321095,0.7834140435102516,0.8365495882600031,0.8231405510598041,0.27184466019417475,0.6290858622001881,0.7999064091088446
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.34816002499073084,0.8145024709434774,0.6565537770750525,0.8191965857379792,0.8018832692803464,0.8245668792615803,0.2621359223300971,0.6041377057771722,0.819471929139076
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.5656785423500865,0.03985041891377875,0.6175119813483602,0.03331536820652499,0.6813087329820544,0.03954631372998695,0.2524271844660194,0.6220804219429039,0.0375898809965036
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.4320003102246906,0.7285258451770863,0.6381454238142166,0.7133211248090833,0.8484522110166387,0.733157264347339,0.24271844660194175,0.6415609936204386,0.7250805944823947
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.45534488937857237,0.18215509597692017,0.6639613487002459,0.22455164919764534,0.8130671563492978,0.2084432409990102,0.2621359223300971,0.6457646851155848,0.20508293952330664
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.42136491036850837,0.05045186138347602,0.6475526113279634,0.03814410304907328,0.8880726589924836,0.04045563118221148,0.24271844660194175,0.6546188233244364,0.042992328952272604
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.43226624102659505,0.07460290012115048,0.7897646274762258,0.05685426790715378,0.8982010080792093,0.04576959221836659,0.1650485436893204,0.7086027651637692,0.058946402335972606
