Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_brier,0_105_san,105_210_brier,105_210_san,210_315_brier,210_315_san,315_420_brier,315_420_san,420_525_brier,420_525_san,525_630_brier,525_630_san,630_735_brier,630_735_san,735_840_brier,735_840_san,840_945_brier,840_945_san,945_1050_brier,945_1050_san,acc,brier,san
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.5680298445140218,0.7560344839000861,0.6082143099915313,0.7263435135567228,0.6488801259272622,0.744381778794719,0.6709909435212651,0.7111829039279788,0.743777054768648,0.6745353461608042,0.7745262768360096,0.6228313460675905,0.7997647128342302,0.5636795031868097,0.8363805666129666,0.5174389742182552,0.8685470276422902,0.40139922432193886,0.9660069524560594,0.15152866524440728,0.2561904761904762,0.7485117815104282,0.5869355739379307
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.8575944979490935,0.34329439022197544,0.8637033710738511,0.2950454607458858,0.8640118143919244,0.3206517655087251,0.8419376641801124,0.2801729053472469,0.8966708361370279,0.22996516550014917,0.8884379374719609,0.25233434777811303,0.9223645194489041,0.18340170144146484,0.9434359485048552,0.14446194038811272,0.951335034671678,0.09601839116421348,0.9888818267056649,0.028285703078163815,0.2580952380952381,0.9018373450535062,0.21736317711740497
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.5177972259801862,0.8060806394684427,0.5995132435077247,0.7687396074518021,0.6544660611796904,0.7957469599434963,0.6224169818414271,0.7509279535974869,0.6823731940128271,0.7501097651817544,0.7559818114204341,0.7409483546823235,0.7368359878135816,0.7128994413912905,0.7756814704478282,0.6886914292871616,0.8323136077591398,0.5756739005927456,0.8757306278551616,0.37745787877578924,0.24761904761904763,0.7053110211818001,0.6967275930372301
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.4464296722837156,0.6457300157754234,0.6027325346035047,0.6055302322343021,0.7348582817109428,0.6223143910562725,0.7918811850101497,0.5782756487246259,0.8076287366724771,0.5332181437256186,0.870139242789452,0.5139361235884345,0.883796270978131,0.4344724065450883,0.9347033768112241,0.3722947675865495,0.9568118045606044,0.3002659019242494,0.9706922824884788,0.12002141603085956,0.2542857142857143,0.7999673387908673,0.4726059047191421
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.46121757000574654,0.5603694278090418,0.6697545906351972,0.5400378145795952,0.729364851214361,0.5874792404424315,0.8318789886890043,0.5073049514362205,0.8645357343948779,0.46917124861759246,0.880054569874567,0.4881218974028751,0.9016220292689884,0.40202316604495425,0.9460299897924264,0.34336863566725334,0.9667387396082104,0.23291866224576352,0.98844920817476,0.07191804979947429,0.2438095238095238,0.8239646271658139,0.4202713094045195
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.5802162315334043,0.43853648528545663,0.7507522126897989,0.39034972952618047,0.825958091787852,0.38194207858733187,0.8927830217255702,0.3532060812317008,0.9151262129497756,0.3291217697500583,0.922741063828062,0.29581290231608454,0.939669675865979,0.23610489485261113,0.953914890285447,0.20120636077609447,0.9734466668567772,0.14422329328434283,0.994371802089239,0.03450140787869458,0.2361904761904762,0.8748979869611895,0.28050050034885576
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.4634098028929407,0.7107140834716604,0.6107135398708086,0.6455822180339514,0.6714868682450341,0.6649433508645818,0.723741846908272,0.6280946953959967,0.7702849743901021,0.5832484391656012,0.8254590641218653,0.5743355970506252,0.8335261580167118,0.501454503985426,0.8964289254301646,0.411414018157812,0.9461275055416967,0.3372069147442036,0.9883542188954535,0.10520309008195267,0.25523809523809526,0.7729532904313043,0.5162196910951813
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.3996059374079982,0.694688352686373,0.5713922621241329,0.6522928630482082,0.6658467455515379,0.65437388312233,0.7574895609740652,0.6532210119303604,0.7959702917534758,0.6095257084137179,0.8469095181687412,0.594862178891918,0.887676937728147,0.516183056272653,0.9230854243926407,0.43219882889618205,0.9538334108445247,0.38908755974579107,0.9787012048792866,0.15962518210467538,0.24571428571428572,0.7780511293824556,0.5356058625112206
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.34865294477778264,0.8090088138197292,0.5000009233609166,0.771488736157679,0.6313025026074575,0.7637049376890227,0.6946135462307965,0.7240157140819855,0.7388762074698683,0.6958124859761284,0.7931702812157642,0.6879013906207321,0.8108354140772943,0.6067430350909279,0.8506809460670122,0.5513415297592319,0.9144584679769115,0.4536898548644901,0.9754835111486783,0.1654213023579567,0.26857142857142857,0.7258074744932485,0.6229127800417886
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.9814297430376391,0.04247783081281028,0.9887358924795612,0.027794054779278654,0.9911796153543936,0.028157137428268683,0.9866862105823855,0.024060168416473574,0.9917562861832137,0.018667956134509577,0.9946335842498454,0.02043626794550725,0.9934605455389294,0.013360273659148028,0.996727810921253,0.013251025056826618,0.9984482186673403,0.005723767980750688,0.9992379220590645,0.0007781769919299354,0.21619047619047618,0.9922295829073614,0.01947066592055031
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.5342824525177482,0.519473831861426,0.669050860258345,0.47018707835561335,0.7612576907963249,0.4934163397633019,0.8470710583571586,0.42606568326481115,0.8877807766204473,0.37460330647407825,0.883208377393003,0.3737599528187409,0.9321361203749342,0.2882759745133573,0.9591223874346165,0.2560396675896943,0.9730958984700175,0.2077698624243479,0.9931772757421,0.049006550358533345,0.2561904761904762,0.8440182897964693,0.34585982474239035
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.9095227674028905,0.15045094166303016,0.9195519424168144,0.1186721690312296,0.9552596372494504,0.111633327159918,0.9639682141474347,0.09442475058073324,0.9639576386562141,0.07875675496036619,0.9814810025446324,0.06633548045224155,0.9799864319218548,0.053490110415353065,0.9874768624140614,0.04937666479166338,0.9942289412769355,0.028731052248094056,0.9986168752241849,0.004223581593165886,0.24857142857142858,0.9654050313254486,0.07560948328957931
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.5903290530697313,0.41143712349650424,0.7884742208040152,0.3863788270036279,0.8073454414118373,0.43193765104104925,0.8434476929804203,0.3965949423785791,0.9277565012978495,0.34405754733230914,0.9263821689658799,0.33492357292623814,0.9276779996565431,0.3110175219938262,0.956501798044163,0.28285701332979224,0.9717737590513319,0.21695251305462193,0.9887303111035729,0.06840313136915088,0.24952380952380954,0.872841894638535,0.31845598439256967
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.541587090128104,0.49460256833917116,0.7133952002789206,0.48626278364470304,0.7380623151794339,0.534992836097529,0.8402913085996195,0.45549205582471514,0.8897500882168183,0.47423060902404596,0.8958533622172282,0.38762558435427347,0.9255197329439793,0.3470321602866896,0.9409837944827967,0.28626756896273203,0.9659619746390075,0.223233315583342,0.9881689092399704,0.06594864309030704,0.24095238095238095,0.8439573775925879,0.3755688125207511
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.4067119138476491,0.6909171403247619,0.67371948751519,0.6460439549983916,0.7088134198412924,0.6900514608443289,0.7611110064294987,0.6472321997091882,0.813093022871857,0.6335104453925231,0.8325259570776722,0.5978908614461242,0.8732547777359284,0.4887003959081562,0.8988537969109143,0.4475421043743681,0.9329262293302258,0.3634375325955469,0.985500265021241,0.12637279935749363,0.23142857142857143,0.7886509876581467,0.5331698894950891
