Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_acc,0_105_san,105_210_acc,105_210_san,210_315_acc,210_315_san,315_420_acc,315_420_san,420_525_acc,420_525_san,525_630_acc,525_630_san,630_735_acc,630_735_san,735_840_acc,735_840_san,840_945_acc,840_945_san,945_1050_acc,945_1050_san,brier,san
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.0761904761904762,0.031627145158047175,0.17142857142857143,0.02580472776652101,0.17142857142857143,0.014816863382207774,0.2571428571428571,0.0148097627089841,0.26666666666666666,0.01783743063328196,0.20952380952380953,0.009543301208079077,0.29523809523809524,0.020393895729441683,0.23809523809523808,0.0186568528950061,0.2761904761904762,0.022522259584402987,0.2,0.01869442013953143,0.6650466826211939,0.01947066592055031
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.009523809523809525,0.3715228295141251,0.0380952380952381,0.356991025680157,0.047619047619047616,0.3331390709927192,0.05714285714285714,0.34938673083663513,0.0761904761904762,0.31729327714250977,0.18095238095238095,0.31124474283667336,0.20952380952380953,0.3684887753765868,0.44761904761904764,0.3247286297402071,0.6571428571428571,0.35544560832720296,0.8380952380952381,0.3703575569770882,0.6166709468171633,0.34585982474239035
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.047619047619047616,0.1018945756663568,0.05714285714285714,0.09296002809324416,0.12380952380952381,0.06607810978880231,0.2,0.07121403052741297,0.21904761904761905,0.06972754225442777,0.21904761904761905,0.045689807090940164,0.26666666666666666,0.0766280133897205,0.3238095238095238,0.06906468633369744,0.42857142857142855,0.08491894343337389,0.6,0.07791909631781899,0.6343948706106726,0.07560948328957931
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.01904761904761905,0.35830006116194585,0.11428571428571428,0.3369216294401744,0.0761904761904762,0.3097601992646394,0.08571428571428572,0.33161005526548504,0.13333333333333333,0.3367017272987584,0.20952380952380953,0.25774324096071793,0.24761904761904763,0.35584814304864715,0.4,0.254320129725381,0.5047619047619047,0.33331983997467907,0.7047619047619048,0.3100348177852708,0.6607984894619698,0.31845598439256967
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.02857142857142857,0.37382350993776964,0.06666666666666667,0.3834151876873198,0.10476190476190476,0.37176028861756977,0.0761904761904762,0.3874660863185342,0.11428571428571428,0.36862993850696024,0.18095238095238095,0.34326529183278703,0.26666666666666666,0.39483449903181134,0.37142857142857144,0.3461586706025971,0.41904761904761906,0.3947504051491673,0.780952380952381,0.3915842475229923,0.6500904527594142,0.3755688125207511
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.0380952380952381,0.5542427980887144,0.08571428571428572,0.5231421892559229,0.08571428571428572,0.526290764408042,0.09523809523809523,0.5572077580991728,0.12380952380952381,0.547859355245708,0.13333333333333333,0.49853099243846466,0.21904761904761905,0.547929309767262,0.2761904761904762,0.47029163426087794,0.47619047619047616,0.5368085592051026,0.780952380952381,0.5693955341816169,0.6470247101682147,0.5331698894950891
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.02857142857142857,0.5585751950022442,0.12380952380952381,0.5610673758324155,0.047619047619047616,0.553336000112435,0.18095238095238095,0.5704168585243031,0.24761904761904763,0.5260900283997128,0.20952380952380953,0.5352809569413595,0.29523809523809524,0.5460212724148092,0.2857142857142857,0.48874651835626476,0.4380952380952381,0.5578055089892742,0.6095238095238096,0.5925299737651214,0.6156190378207796,0.5489869688337936
bigscience/bloom,BLOOM,176.0,0.366,386.496,0.308540091,0.504266212,0.764090819,0.720599842,0.397596228,0.06899166,0.735544419,0.12195122,bigscience(huggingface),202207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EleutherAI/gpt-neox-20b,GPT-Neo/J,20.0,0.472,56.64,0.250025953,0.457337884,0.734515037,0.689029203,0.31613146,0.054586808,0.716280975,0.12804878,EleutherAI,202103.0,0.2487537388,bdsrc,,,,0.009523809523809525,0.4788608646323792,0.01904761904761905,0.4832492794827385,0.0761904761904762,0.45730498480760684,0.08571428571428572,0.4877692612578152,0.0761904761904762,0.4481960245108358,0.14285714285714285,0.44459533948887464,0.26666666666666666,0.4820536344345638,0.4095238095238095,0.4367720276198398,0.5619047619047619,0.46009232397353444,0.8952380952380953,0.4979888896798362,0.6148572707761851,0.4676882629888024
EleutherAI/gpt-neo-2.7B,GPT-Neo/J,2.7,0.42,6.804,0.264539788,0.333617747,0.562437761,0.600631413,0.397779599,0.012888552,0.573989469,0.067073171,EleutherAI,202103.0,0.2656316764,bdsrc,,,,0.01904761904761905,0.3659270468619659,0.0380952380952381,0.34370163449679425,0.01904761904761905,0.30691354400659293,0.009523809523809525,0.39392263494831575,0.0761904761904762,0.35370387828093175,0.13333333333333333,0.3233783327346441,0.3142857142857143,0.3857899093475813,0.3904761904761905,0.33987394321549874,0.6095238095238096,0.3599257727416593,0.9333333333333333,0.36881419540808663,0.6044272383630391,0.3541950892042071
