Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_brier,0_105_san,105_210_brier,105_210_san,210_315_brier,210_315_san,315_420_brier,315_420_san,420_525_brier,420_525_san,525_630_brier,525_630_san,630_735_brier,630_735_san,735_840_brier,735_840_san,840_945_brier,840_945_san,945_1050_brier,945_1050_san,acc,brier,san
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.3766574537758309,0.8396107295697856,0.4210204437643359,0.8470447705074984,0.40843292672184756,0.8259711559203299,0.44777700243840624,0.8508283915503835,0.47607042512395087,0.8430795719737627,0.5037591882388686,0.8596572120418076,0.4884503126263863,0.8350641658811666,0.515446496204962,0.8865109262760487,0.5036465939980742,0.8411417448912241,0.5421235990065871,0.7842387183869075,0.41619047619047617,0.46833844418992504,0.8413147386998914
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.382604947800283,0.7042954109911612,0.5063232983469761,0.7337154660036305,0.4946856096476065,0.6861094513932672,0.5594966556257925,0.7136396477932256,0.5659781656427784,0.6948146039976317,0.6097420488882961,0.7512377715131638,0.6256589459058249,0.7217683678721547,0.6058367007525143,0.7354010311154647,0.6577998850842585,0.699925195227548,0.7513955145217948,0.6044352049150776,0.2876190476190476,0.575952177221612,0.7045342150822334
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.3990750679202793,0.6060161018208504,0.4743888724375275,0.6192738726620621,0.535109359487846,0.5455498049435449,0.5490369342120833,0.6206193026793851,0.5843170717338754,0.571732542349723,0.591476282581,0.5946768485278512,0.6540352335199936,0.5810068675196237,0.7204189507842153,0.6488731422861002,0.7034213739850355,0.6002145161370616,0.7915129529115641,0.48139274045311053,0.2561904761904762,0.6002792099573425,0.5869355739379307
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.5384440807732731,0.20497831012368886,0.5963375731374405,0.21362180903365968,0.6081666911363168,0.23333171649294213,0.5867751879364053,0.27187644031652036,0.5815347525856605,0.22757811315160778,0.5779328823300605,0.23350775108143254,0.5900667712408678,0.17283356363959462,0.6572607318313968,0.2531919489587306,0.6922140487078432,0.22228135347509365,0.7115978756639422,0.1404307649007798,0.2580952380952381,0.6140330595343209,0.21736317711740497
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.3953423011283466,0.7036020860110125,0.4860312505694627,0.7097299225773083,0.5638058868718436,0.6670412287683696,0.5966825047044566,0.7276609146612683,0.5567628918735754,0.6901121349884601,0.5943388665421444,0.7087341380105416,0.6354296539382477,0.6977423461793704,0.6767824672114873,0.7109734429599898,0.7289571921749616,0.6960849025379615,0.7518725644194709,0.6555948136780101,0.24761904761904763,0.5986005579433995,0.6967275930372301
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.22526907044509736,0.5309541028611301,0.4277439828609712,0.5002101612332664,0.5156211408591376,0.4171054279164607,0.6473284416580838,0.5133475314053594,0.617824595084721,0.4740269134682368,0.6977158392953773,0.46284545720481085,0.7262197330153695,0.4513037254173417,0.799779761043759,0.532118764245499,0.8420286569660461,0.46334350795522566,0.8559831070954309,0.3808034554840922,0.2542857142857143,0.6355514328323997,0.4726059047191421
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.14485159423665167,0.4153191271509302,0.3371893262157684,0.4407577608316904,0.5209494819776929,0.4036756752602271,0.6066067944143518,0.48315983174965965,0.7081350748293702,0.42290813654901577,0.7286120368677877,0.4515899522195907,0.7711562565919544,0.39932477878055894,0.7963677091345068,0.46370147973642295,0.8414412711770306,0.40643585956486133,0.8697798203322736,0.31584049220224497,0.2438095238095238,0.6325089365777389,0.4202713094045195
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.17718390725870353,0.3082165372309293,0.3601754413439272,0.2986359121652424,0.547510202184022,0.2787425821954597,0.5786972988908936,0.3141472761041395,0.7253253383058123,0.27316290886092154,0.7094272101460627,0.2895613555183189,0.7588172771098166,0.2612081913718108,0.7652727593514812,0.3059528603824921,0.8434843457647152,0.25260902515611394,0.8755159367774268,0.22276835450312749,0.2361904761904762,0.634140971713285,0.28050050034885576
