Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_350_brier,0_350_san,350_700_brier,350_700_san,700_1050_brier,700_1050_san,acc,brier,san
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.37715847738950947,0.5290729313432196,0.6352981230710757,0.5194838695618655,0.8018928155554411,0.5001022723804578,0.25523809523809526,0.6047831386720086,0.5162196910951813
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.3428373223754311,0.5365715629246259,0.6940807749091027,0.5446155822737258,0.8512541590370316,0.5256304423353111,0.24571428571428572,0.6293907521071878,0.5356058625112206
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.37384781962592856,0.640223670000836,0.6373641218031643,0.625036097767109,0.7817469162683988,0.60347857235742,0.26857142857142857,0.5976529525658305,0.6229127800417886
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.6344411105298812,0.01988513025656906,0.6389185297893437,0.01976425460323121,0.7217804075443573,0.01876261290185068,0.21619047619047618,0.6650466826211939,0.01947066592055031
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.3395082557321954,0.36757374137689325,0.6789634107172794,0.34110242852759226,0.8315411740020163,0.3289033043226857,0.2561904761904762,0.6166709468171633,0.34585982474239035
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.4722222123307156,0.08188454400074426,0.6410115892477173,0.07840209393776226,0.7899508102535854,0.06654181193023202,0.24857142857142858,0.6343948706106726,0.07560948328957931
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.4328009582048254,0.316383636792899,0.7025063929042821,0.32674792919508605,0.8470881172768048,0.31223638718972513,0.24952380952380954,0.6607984894619698,0.31845598439256967
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.4322822910930346,0.387241445812664,0.685490363862531,0.39151692928001997,0.8324987033226801,0.3479480624695687,0.24095238095238095,0.6500904527594142,0.3755688125207511
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.42691512687983096,0.5411901734511718,0.7043927999638301,0.5529624285166528,0.8097662036609837,0.5053570665174408,0.23142857142857143,0.6470247101682147,0.5331698894950891
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.45737732960522953,0.5634705423697453,0.622316445612473,0.5572136806335438,0.7671633382446387,0.5262766834980919,0.24666666666666667,0.6156190378207796,0.5489869688337936
