Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_brier,0_1502_san,1502_3004_brier,1502_3004_san,3004_4506_brier,3004_4506_san,4506_6009_brier,4506_6009_san,6009_7511_brier,6009_7511_san,7511_9013_brier,7511_9013_san,9013_10516_brier,9013_10516_san,10516_12018_brier,10516_12018_san,12018_13520_brier,12018_13520_san,13520_15023_brier,13520_15023_san,acc,brier,san
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.01224257386737151,0.9585440920219229,0.01244121499516078,0.9567977781585728,0.019329099676076652,0.9606992398941058,0.034247933920779516,0.9842709687363383,0.03920901181405606,0.9942699326150631,0.04062437971391646,0.9782496901805036,0.05071233203298655,0.9832552730729884,0.050880777688350004,0.9766423753922955,0.07521427150358302,0.9734164727938514,0.13316822798030548,0.9721217288100479,0.9387605671304,0.04681215489111347,0.9738279644936092
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.48154111199913974,0.9363957382790529,0.4942425928637479,0.9369735694378423,0.4731594857480111,0.9344466973048807,0.46015276105325276,0.9332138522023642,0.4546142774963688,0.9444732299356918,0.46624742544544423,0.94218898793055,0.48446833255393984,0.9460488847207332,0.49505575639325844,0.9435589728696118,0.5034354506925851,0.9429502442974764,0.5712760501301637,0.9564990460699491,0.43100579112028226,0.4884226952137614,0.941675637010013
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.2920104735312589,0.6061340311707382,0.4773550299752416,0.6176220909486548,0.5285369188992296,0.6357531482530391,0.5210684228628136,0.6063020936449848,0.5313183447999256,0.6081338691018254,0.5345504216440842,0.596357020394966,0.568277279411526,0.5744978397284989,0.6207169679410031,0.5604017639525044,0.7110508473464595,0.5505744720809517,0.8525214390528468,0.5409054719389476,0.336284363975238,0.5637572986506599,0.5896650316734632
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.07245590694988646,0.7329772518708457,0.11909038240714322,0.7190838922125627,0.23517182101081824,0.680221556905529,0.39744885366834026,0.654903294910958,0.5299358016196936,0.6283782623688096,0.6330665651406865,0.6282319162689239,0.7518284310867485,0.627375609445174,0.8641614713559237,0.6419717658182246,0.9606752245243618,0.6780957016455371,0.9929896970716213,0.7320677097714966,0.3598482327098449,0.5557140482955714,0.672330520026871
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.015349437010491242,0.9062614890961763,0.034660023599488436,0.8781919057047255,0.08377448589683312,0.8529117718188034,0.22715084266022584,0.8116521677781388,0.36466422128964365,0.7955758611892833,0.4604752200635602,0.7832008840781367,0.5582970333741271,0.7725734408692777,0.6476877725611879,0.7649605145115362,0.7447961858122366,0.7699786217484369,0.8802893505692247,0.7937796847235432,0.5423683685016308,0.40174511652984213,0.8129045923086932
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.016787434257841644,0.9327425381104382,0.054443507394620956,0.8763182268887284,0.1568871807950507,0.7932859151611663,0.3638680408593899,0.7190005015326404,0.5450566009110714,0.7003516093126179,0.6716772076192123,0.6986644298187837,0.7650648071623396,0.7053021149942902,0.8706370810616585,0.726371743300513,0.9448877839309405,0.7680177954701337,0.989909995722995,0.8563281855160508,0.3981894428542901,0.5379555842172586,0.7776348257392228
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.062489971075119735,0.6728066434563783,0.14130320721179143,0.5924979830366937,0.23074465141977665,0.5713480248596764,0.3571896605220823,0.5410167338350799,0.5231722643919927,0.5224112483675631,0.6227074283472157,0.5097825206302532,0.7348592462001214,0.505460585486674,0.8318888777383366,0.5198579414327904,0.9349854150031888,0.5649524025700787,0.9864544670335422,0.6235337568999487,0.3690341476402849,0.5426095238744826,0.5623656465166788
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.03668541827800399,0.6192193477141595,0.10068588788184465,0.6097242620957471,0.2982719315082257,0.5510937725844764,0.4557272716773749,0.52020982724907,0.6123343012636536,0.5028999893150716,0.7401709273058757,0.5152007823874872,0.8323184826940249,0.5211634875491198,0.8993447308472182,0.5342827739525897,0.955533571479441,0.5731583522242482,0.987566877483506,0.6218308055979964,0.33914664181588233,0.5918972237277169,0.5568778454321178
