Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_5007_brier,0_5007_san,5007_10015_brier,5007_10015_san,10015_15023_brier,10015_15023_san,acc,brier,san
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.1600209842962649,0.6058090766578623,0.5646179259729421,0.5177127177721775,0.9031132658790965,0.5635838199263362,0.3690341476402849,0.5426095238744826,0.5623656465166788
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.17030297434392053,0.5867758728243468,0.6662671021401532,0.5115023025136188,0.9390374105438419,0.5723613310117781,0.33914664181588233,0.5918972237277169,0.5568778454321178
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.1119378172757357,0.7480403288888786,0.6059057711528479,0.6401979578589866,0.9064341490318086,0.7038410136348837,0.39033481994275443,0.5414545011904655,0.6973563932628568
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.08360834414058037,0.9057488299352484,0.6271753389323935,0.7939881774170622,0.9273124648553926,0.8542099568375436,0.3852759102709179,0.5460628303588562,0.8513120314073662
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.08367911396598758,0.8811888652492124,0.6142126705930532,0.7996382763330434,0.9152295247237234,0.8307749325959974,0.4032483525261266,0.5377373252861676,0.8371977633375075
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.7748176346430065,0.03034368228960571,0.8051100553771972,0.05326788507848867,0.7763520924055188,0.04106223750004585,0.1086999933435399,0.7854273003230623,0.04155868142829994
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.1340221361212284,0.662967219336025,0.6516582418107534,0.601512571905884,0.925769084053165,0.637411412620462,0.36477401317979097,0.5705122068485334,0.6339618040154028
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.2887957531605133,0.13733636688801945,0.6665869968942795,0.14870673128756284,0.8879240149590543,0.17066232843277623,0.3110563802170006,0.6144572644236307,0.15223613393382
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.09122397595013255,0.6940382302922528,0.713638855218679,0.5389143179478566,0.9627355849848691,0.6307194761312886,0.36304333355521534,0.5892326195914049,0.6212191612741599
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.203741526670441,0.4985893907040077,0.7494490991743391,0.45098379917656634,0.9208168524097545,0.4833240942579358,0.3076615855687945,0.6246971782980797,0.477631033054309
