Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_acc,0_1502_san,1502_3004_acc,1502_3004_san,3004_4506_acc,3004_4506_san,4506_6009_acc,4506_6009_san,6009_7511_acc,6009_7511_san,7511_9013_acc,7511_9013_san,9013_10516_acc,9013_10516_san,10516_12018_acc,10516_12018_san,12018_13520_acc,12018_13520_san,13520_15023_acc,13520_15023_san,brier,san
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.7616511318242344,1.056442883671357,0.8994673768308922,0.9596179012063117,0.9267643142476698,0.9677174742248207,0.9328010645375915,0.9751059226217114,0.9460719041278296,0.9793205107355426,0.9653794940079894,0.967706888169265,0.9740518962075848,0.9615147038018867,0.9900133155792277,0.9561221221675347,0.9940079893475366,0.9564196181045486,0.9973386560212908,0.9583292859994712,0.04681215489111347,0.9738279644936092
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.3422103861517976,0.9993500942965611,0.42809587217043943,0.9350037729435885,0.46537949400798934,0.9349400679001845,0.48369926813040587,0.9406841526440906,0.4966711051930759,0.9408906810146985,0.47137150466045274,0.9337131419236872,0.4431137724550898,0.9260319948066803,0.422103861517976,0.933447495391874,0.36950732356857524,0.9363057246644838,0.3878908848968729,0.9364038296899055,0.4884226952137614,0.941675637010013
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.045938748335552594,0.5798536427231741,0.14913448735019974,0.5467110202388301,0.30692410119840213,0.5676300148013108,0.3805721889554225,0.5717535700339272,0.39347536617842876,0.5938241966302558,0.3548601864181092,0.5838429731691207,0.3479707252162342,0.5945707914086608,0.3229027962716378,0.6383617061731246,0.4014647137150466,0.6181868988646597,0.6593479707252162,0.6019160051738464,0.5637572986506599,0.5896650316734632
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.0006657789613848203,0.7285302825726093,0.003328894806924101,0.6890297428737973,0.041278295605858856,0.657815389477456,0.11377245508982035,0.642835715172623,0.20639147802929428,0.6180490675537651,0.3162450066577896,0.61960650531316,0.4697272122421823,0.6425799912256192,0.6731025299600533,0.6816678653756395,0.8475366178428761,0.7157198714886457,0.9261477045908184,0.7274735004758368,0.5557140482955714,0.672330520026871
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.10386151797603196,0.7987803897657175,0.12117177097203728,0.7793616996641329,0.21904127829560585,0.7756893798077702,0.3000665335994677,0.7759119077323191,0.42543275632490013,0.769871339432523,0.5858854860186418,0.7882649690619971,0.7644710578842315,0.8078536548906765,0.9254327563249002,0.8527246576339862,0.9820239680426098,0.8776866050659767,0.9960079840319361,0.9028694151045334,0.40174511652984213,0.8129045923086932
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.007323568575233023,0.8424477275284399,0.013315579227696404,0.7942498141061725,0.039280958721704395,0.7548440229529403,0.10578842315369262,0.7185736992951675,0.18575233022636484,0.6881391508600749,0.33155792276964047,0.6805588716818326,0.5608782435129741,0.7006034903381925,0.8162450066577897,0.7953276534625415,0.9400798934753661,0.872984576410451,0.9813705921490352,0.9286093425972565,0.5379555842172586,0.7776348257392228
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.0019973368841544607,0.620924625190335,0.003328894806924101,0.5778754364210601,0.031291611185086554,0.5412027095602898,0.08117099135063206,0.5160427853529121,0.18575233022636484,0.5021365649148748,0.3355525965379494,0.5083631555897511,0.5535595475715236,0.5279059848881906,0.7070572569906791,0.5663358422669509,0.8328894806924101,0.5959814793988277,0.957418496340652,0.6668720866985255,0.5426095238744826,0.5623656465166788
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.002663115845539281,0.6298983687357277,0.006657789613848202,0.5769196055285953,0.02663115845539281,0.5535434295205711,0.0658682634730539,0.533498763291002,0.12117177097203728,0.5090166231134235,0.2310252996005326,0.4893896816982846,0.44045242847638055,0.5021661409814404,0.6338215712383488,0.5540126454228826,0.8954727030625832,0.6054428359607439,0.9673985362608117,0.6149037188655355,0.5918972237277169,0.5568778454321178
