Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_58_brier,0_58_san,58_116_brier,58_116_san,116_175_brier,116_175_san,acc,brier,san
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.5685091890692642,0.8725647386700537,0.4780943294193648,0.9104846582295449,0.6880090117557605,0.8859629681294833,0.29714285714285715,0.5788316329481735,0.8896496007989498
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.5066516532386567,0.8652205567146118,0.6181734739184626,0.8663150564914992,0.7430548539456949,0.8276405370963249,0.25142857142857145,0.623314821473765,0.8529134700265001
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.3562038026093028,0.6974236538326622,0.6059077959097425,0.7300682671134681,0.8072656661137659,0.7074298309822487,0.29714285714285715,0.5910351257989533,0.7116165225304469
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.4143412901351905,0.9128576659698235,0.530588636627674,0.9038197846377785,0.6574269710639066,0.9072571674273667,0.3485714285714286,0.5348235831143807,0.9079740857911744
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.421401299259437,0.88184610499586,0.5519741232726689,0.8856578658872647,0.6679648417584328,0.8891325135833819,0.3028571428571429,0.5478040009749121,0.8855659920722329
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.3984384038200556,0.9305273380267692,0.4570398634294626,0.9167989480416678,0.6520065687196241,0.9179706393867515,0.38857142857142857,0.503349297456742,0.9217439560902151
EleutherAI/pythia-70m-deduped,Pythia,0.07,0.3,0.126,0.25260507,0.210750853,0.271659032,0.496448303,0.475143855,0.0,0.510099914,0.0,EleutherAI,202302.0,0.2573707449,bdsrc,,,,0.43870063400393655,0.15576960746672458,0.7280674035705756,0.1448813524087637,0.7343938520060932,0.1555179415187975,0.3142857142857143,0.6342959054153211,0.15207608127078498
EleutherAI/pythia-1.4b-deduped,Pythia,1.4,0.3,2.52,0.255554967,0.326791809,0.549591715,0.573007103,0.386584645,0.008339651,0.594062854,0.042682927,EleutherAI,202302.0,0.2502492522,bdsrc,,,,0.47379704834050546,0.7476429663387488,0.587855584058327,0.7497210019497274,0.6878265402726261,0.7393229937013368,0.24571428571428572,0.5837578203155274,0.7455266673663455
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.4386440504337524,0.5459151192540419,0.6364884819728672,0.5662156404084286,0.793159011700548,0.5339539637565689,0.26285714285714284,0.6237375346852355,0.5486106738403477
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.4008289994134283,0.7734578039090801,0.6946220443299038,0.7819695135604796,0.8560197365066979,0.7554635132704528,0.24,0.6516647142343337,0.7702121811210926
