Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_107_brier,0_107_san,107_215_brier,107_215_san,215_323_brier,215_323_san,acc,brier,san
EleutherAI/pythia-160m-deduped,Pythia,0.16,0.3,0.288,0.24860575,0.240614334,0.313881697,0.513812155,0.443404464,0.00227445,0.523599803,0.0,EleutherAI,202302.0,0.2527417747,bdsrc,,,,0.4978115966892355,0.10291471653693392,0.9821585390701569,0.1002565560361008,0.9949187066147382,0.14740167074804245,0.12074303405572756,0.8259757999372044,0.11690081474346564
bigscience/bloom-560m,BLOOM,0.56,0.341,1.14576,0.242154121,0.247440273,0.371539534,0.519337017,0.424442817,0.0030326,0.578551515,0.006097561,bigscience(huggingface),202207.0,0.2444096283,rllab,,,,0.5309984215042605,0.0175176831960444,0.9064559332229196,0.018000534296501718,0.9566376633858362,0.016531641846648595,0.1393188854489164,0.7988573979402517,0.017349433824882313
bigscience/bloom-1b1,BLOOM,1.1,0.341,2.2506,0.267021483,0.283276451,0.427803226,0.55011839,0.41797167,0.00227445,0.609512962,0.0,bigscience(huggingface),202207.0,0.2658453212,rllab,,,,0.5436680817879831,0.0036843147419761235,0.897116855256847,0.0036743807162915526,0.9376684513011537,0.003187538943635784,0.13003095975232198,0.7935891574599947,0.003514888546946121
bigscience/bloom-3b,BLOOM,3.0,0.341,6.138,0.265925092,0.357508532,0.543716391,0.576164167,0.40572463,0.015163002,0.664767416,0.018292683,bigscience(huggingface),202207.0,0.2593647629,rllab,,,,0.5104585672392655,0.004540240485101297,0.9139820549617715,0.004565856474039903,0.9873700305054337,0.004602502854240465,0.13003095975232198,0.8048454858360975,0.00456962396086724
bigscience/bloom-7b1,BLOOM,7.1,0.341,14.5266,0.262462224,0.411262799,0.619996017,0.6543015,0.388978422,0.013646702,0.697719119,0.048780488,bigscience(huggingface),202207.0,0.2629967241,rllab,,,,0.49354297902186955,0.0034271576297059472,0.917650792135858,0.0034185151227443507,0.985825217308772,0.0037186308146617175,0.12074303405572756,0.7999520364562229,0.0035217264012953322
bigscience/bloom,BLOOM,176.0,0.366,386.496,0.308540091,0.504266212,0.764090819,0.720599842,0.397596228,0.06899166,0.735544419,0.12195122,bigscience(huggingface),202207.0,,,,,,,,,,,,,,
EleutherAI/gpt-neox-20b,GPT-Neo/J,20.0,0.472,56.64,0.250025953,0.457337884,0.734515037,0.689029203,0.31613146,0.054586808,0.716280975,0.12804878,EleutherAI,202103.0,0.2487537388,bdsrc,,,,0.5911767361397883,0.6854115482243052,0.9732927084805391,0.701198208708568,0.9973348501922602,0.7416139503094191,0.11764705882352941,0.854748257286748,0.709482194532332
EleutherAI/gpt-neo-2.7B,GPT-Neo/J,2.7,0.42,6.804,0.264539788,0.333617747,0.562437761,0.600631413,0.397779599,0.012888552,0.573989469,0.067073171,EleutherAI,202103.0,0.2656316764,bdsrc,,,,0.48025496083215546,0.5556965285266594,0.947564933727712,0.5956683617445949,0.9839967879386953,0.5823778990029354,0.1393188854489164,0.8049410116068502,0.5779830486473242
EleutherAI/gpt-neo-1.3B,GPT-Neo/J,1.3,0.38,2.964,0.248216555,0.312286689,0.484664409,0.569060773,0.39629306,0.004548901,0.561091098,0.036585366,EleutherAI,202103.0,0.2445520581,bdsrc,,,,0.509175463793281,0.1525826356745103,0.9564982371909815,0.17352770458766825,0.9829258367710688,0.1694157627466019,0.13622291021671826,0.8171503858011847,0.165214354455956
EleutherAI/gpt-neo-125m,GPT-Neo/J,0.125,0.3,0.225,0.259703914,0.229522184,0.302628958,0.517758485,0.455761631,0.0030326,0.502213531,0.006097561,EleutherAI,202103.0,0.2579404643,bdsrc,,,,0.5095523058914864,0.0951824976539064,0.9373975743555574,0.11141262982620163,0.987406723621987,0.12045273423782554,0.1393188854489164,0.8123868758884326,0.1090587819439099
EleutherAI/gpt-j-6b,GPT-Neo/J,6.05,0.402,14.5926,0.267839994,0.413822526,0.675363473,0.659826361,0.359624729,0.029567854,0.681077656,0.115853659,EleutherAI,202103.0,0.2693348526,bdsrc,,,,0.5339472029574953,0.6074774637725752,0.949057029968897,0.6069585054500705,0.9887119250884928,0.6240679313554838,0.1238390092879257,0.8248030893580499,0.6128512191909145
facebook/opt-6.7b,OPT,6.7,0.18,7.236,0.245674066,0.391638225,0.686616212,0.659826361,0.351221498,0.009855951,0.594269081,0.006097561,meta,202205.0,0.2483264492,bdsrc,,,,0.48533797886067553,0.5471690234129084,0.9621997963171445,0.5486958031162131,0.9892149480084004,0.5748140130482161,0.14551083591331268,0.8132630220596009,0.5569230515508967
facebook/opt-1.3b,OPT,1.3,0.18,1.404,0.249630458,0.295221843,0.545309699,0.597474349,0.387106758,0.0015163,0.544028761,0.0,meta,202205.0,0.2471870104,bdsrc,,,,0.6136145522913456,0.14238161812527236,0.9829830868089876,0.14287369202702657,0.9992411045989988,0.1589513797910789,0.1021671826625387,0.8660587299295253,0.14808650432123702
facebook/opt-350m,OPT,0.35,0.18,0.378,0.260230967,0.235494881,0.367257518,0.52644041,0.408285328,0.0030326,0.51811094,0.0,meta,202205.0,0.2612875659,bdsrc,,,,0.5368708283846716,0.07676226228814559,0.8925187538666637,0.08801229086942179,0.9851808622787865,0.1162205377349901,0.14860681114551083,0.8056864928200265,0.09371736084863186
facebook/opt-13b,OPT,13.0,0.18,14.04,0.248956622,0.399317406,0.71200956,0.685082873,0.340958399,0.017437453,0.608779356,0.006097561,meta,202205.0,0.2527417747,bdsrc,,,,0.5314682208372024,0.754645408007782,0.9540121129625464,0.7577319043616889,0.9889170631384866,0.797058951585726,0.11764705882352941,0.8257072775495111,0.7698590436506301
facebook/opt-2.7b,OPT,2.7,0.18,2.916,0.254319729,0.339590444,0.614319857,0.619573796,0.37425418,0.00227445,0.568486894,0.0,meta,202205.0,0.2543085031,bdsrc,,,,0.4942274704877388,0.21291888613158388,0.9609519045527215,0.2484954379829197,0.9832260225206897,0.24768581118834346,0.14551083591331268,0.8137880974183168,0.23643930565503377
facebook/opt-30b,OPT,30.0,0.18,32.4,0.2665873,0.432593857,0.740689106,0.706393054,0.351638263,0.021986353,0.626407888,0.012195122,meta,202205.0,0.2675544794,bdsrc,,,,,,,,,,,,
facebook/opt-125m,OPT,0.125,0.18,0.135,0.260155876,0.228668942,0.314678351,0.516179953,0.42868758,0.00075815,0.498684238,0.0,meta,202205.0,0.2607178465,bdsrc,,,,0.5767722779861594,0.0028353419056971647,0.9341059388430087,0.0027457018222355324,0.9525116831814416,0.0034725969813987644,0.12074303405572756,0.8218864920221668,0.003018445370594741
facebook/opt-66b,OPT,66.0,0.18,71.28,0.269930021,0.46331058,0.76249751,0.700078927,0.35429656,0.016679303,0.642631463,0.012195122,meta,202205.0,,,,,,,,,,,,,,
mosaicml/mpt-30b,MPT,30.0,1.0,180.0,0.479981807,0.559726962,0.8242382,0.749013418,0.384155825,0.169067475,0.745335406,0.213414634,mosaicml,202306.0,0.4727246831,bdsrc,,,,,,,,,,,,
